set_id,user_id,date,week_index_user,week_type,acwr,session_tag,exercise_id,set_index,reps_target,reps_done,load_intended_kg,load_done_kg,rpe_done,rest_planned_sec,rir_target,feedback,workout_id
0002S0000027,2,2025-06-24,3,normal,0.930268720043836,FullBody,19,5,6,6,23.75,24.75,5.5,180.0,4.0,,82.0
0002S0000028,2,2025-06-26,3,normal,0.930268720043836,FullBody,20,1,7,7,27.5,23.75,6.5,90.0,4.0,,83.0
0002S0000029,2,2025-06-26,3,normal,0.930268720043836,FullBody,20,2,12,12,27.5,19.25,1.0,90.0,4.0,,83.0
0002S0000030,2,2025-06-26,3,normal,0.930268720043836,FullBody,20,3,8,9,27.5,22.25,5.0,90.0,4.0,,83.0
0002S0000031,2,2025-06-26,3,normal,0.930268720043836,FullBody,19,1,12,14,28.0,19.5,3.5,120.0,2.0,,83.0
0002S0000032,2,2025-06-26,3,normal,0.930268720043836,FullBody,19,2,10,9,28.0,19.75,6.5,120.0,2.0,,83.0
0002S0000033,2,2025-06-26,3,normal,0.930268720043836,FullBody,19,3,9,9,28.0,22.75,4.5,120.0,2.0,Sentito bene,83.0
0002S0000034,2,2025-06-26,3,normal,0.930268720043836,FullBody,19,4,8,6,28.0,21.25,4.5,120.0,2.0,,83.0
0002S0000035,2,2025-06-26,3,normal,0.930268720043836,FullBody,19,5,7,6,28.0,24.0,3.0,120.0,2.0,,83.0
0002S0000036,2,2025-06-29,3,normal,0.930268720043836,FullBody,20,1,10,10,26.0,21.5,6.0,150.0,3.0,,84.0
0002S0000037,2,2025-06-29,3,normal,0.930268720043836,FullBody,20,2,9,10,26.0,22.5,4.5,150.0,3.0,,84.0
0002S0000038,2,2025-06-29,3,normal,0.930268720043836,FullBody,20,3,8,8,26.0,21.5,7.5,150.0,3.0,,84.0
0002S0000039,2,2025-06-29,3,normal,0.930268720043836,FullBody,19,1,8,7,25.75,20.25,4.5,150.0,4.0,,84.0
0002S0000040,2,2025-06-29,3,normal,0.930268720043836,FullBody,19,2,6,7,25.75,23.25,9.0,150.0,4.0,,84.0
0002S0000041,2,2025-06-29,3,normal,0.930268720043836,FullBody,19,3,12,12,25.75,19.75,5.5,150.0,4.0,,84.0
0002S0000042,2,2025-06-29,3,normal,0.930268720043836,FullBody,19,4,10,10,25.75,22.25,7.0,150.0,4.0,,84.0
0002S0000043,2,2025-07-01,4,spike,1.7271740983341002,FullBody,20,1,12,12,26.25,20.75,6.0,90.0,2.0,,85.0
0002S0000044,2,2025-07-01,4,spike,1.7271740983341002,FullBody,20,2,7,5,26.25,25.5,8.5,90.0,2.0,,85.0
0002S0000045,2,2025-07-01,4,spike,1.7271740983341002,FullBody,20,3,12,15,26.25,21.25,4.5,90.0,2.0,Recuperi corti,85.0
0002S0000046,2,2025-07-01,4,spike,1.7271740983341002,FullBody,20,4,9,9,26.25,20.75,8.0,90.0,2.0,,85.0
0002S0000047,2,2025-07-01,4,spike,1.7271740983341002,FullBody,19,1,12,11,28.25,18.25,6.0,150.0,4.0,,85.0
0002S0000048,2,2025-07-01,4,spike,1.7271740983341002,FullBody,19,2,6,4,28.25,23.5,4.0,150.0,4.0,,85.0
0002S0000049,2,2025-07-01,4,spike,1.7271740983341002,FullBody,19,3,12,11,28.25,19.0,2.0,150.0,4.0,,85.0
0002S0000050,2,2025-07-01,4,spike,1.7271740983341002,FullBody,19,4,9,9,28.25,21.75,5.0,150.0,4.0,,85.0
0002S0000051,2,2025-07-03,4,spike,1.7271740983341002,FullBody,20,1,12,12,27.25,21.5,8.5,90.0,2.0,,86.0
0002S0000052,2,2025-07-03,4,spike,1.7271740983341002,FullBody,20,2,10,10,27.25,23.25,8.0,90.0,2.0,,86.0
0002S0000053,2,2025-07-03,4,spike,1.7271740983341002,FullBody,20,3,12,12,27.25,21.0,5.5,90.0,2.0,,86.0
0002S0000054,2,2025-07-03,4,spike,1.7271740983341002,FullBody,20,4,8,7,27.25,24.75,6.5,90.0,2.0,Sentito bene,86.0
0002S0000055,2,2025-07-03,4,spike,1.7271740983341002,FullBody,20,5,8,9,27.25,24.25,7.5,90.0,2.0,,86.0
0002S0000056,2,2025-07-03,4,spike,1.7271740983341002,FullBody,20,6,9,9,27.25,23.0,4.5,90.0,2.0,Recuperi corti,86.0
0002S0000057,2,2025-07-03,4,spike,1.7271740983341002,FullBody,19,1,6,5,24.0,22.5,7.0,120.0,4.0,,86.0
0002S0000058,2,2025-07-03,4,spike,1.7271740983341002,FullBody,19,2,10,12,24.0,20.25,4.5,120.0,4.0,,86.0
0002S0000059,2,2025-07-03,4,spike,1.7271740983341002,FullBody,19,3,11,9,24.0,20.5,6.0,120.0,4.0,,86.0
0002S0000060,2,2025-07-03,4,spike,1.7271740983341002,FullBody,19,4,12,12,24.0,18.75,10.0,120.0,4.0,,86.0
0002S0000061,2,2025-07-03,4,spike,1.7271740983341002,FullBody,19,5,12,12,24.0,20.0,6.0,120.0,4.0,Recuperi corti,86.0
0002S0000062,2,2025-07-03,4,spike,1.7271740983341002,FullBody,19,6,10,8,24.0,20.75,6.5,120.0,4.0,,86.0
0002S0000063,2,2025-07-03,4,spike,1.7271740983341002,FullBody,19,7,12,12,24.0,19.5,2.5,120.0,4.0,,86.0
0002S0000064,2,2025-07-10,5,spike,1.6503349536396643,FullBody,20,1,6,6,29.25,25.25,7.0,90.0,2.0,,89.0
0002S0000065,2,2025-07-10,5,spike,1.6503349536396643,FullBody,20,2,12,11,29.25,21.0,8.0,90.0,2.0,,89.0
0002S0000066,2,2025-07-10,5,spike,1.6503349536396643,FullBody,20,3,8,7,29.25,23.75,5.5,90.0,2.0,,89.0
0002S0000067,2,2025-07-10,5,spike,1.6503349536396643,FullBody,20,4,9,11,29.25,24.5,7.0,90.0,2.0,,89.0
0002S0000068,2,2025-07-10,5,spike,1.6503349536396643,FullBody,20,5,6,6,29.25,25.25,4.0,90.0,2.0,,89.0
0002S0000069,2,2025-07-10,5,spike,1.6503349536396643,FullBody,20,6,6,6,29.25,24.75,8.5,90.0,2.0,,89.0
0002S0000070,2,2025-07-10,5,spike,1.6503349536396643,FullBody,20,7,10,10,29.25,21.0,5.5,90.0,2.0,,89.0
0002S0000071,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,1,11,12,26.25,21.0,2.5,180.0,2.0,,89.0
0002S0000072,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,2,7,7,26.25,25.25,10.0,180.0,2.0,,89.0
0002S0000073,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,3,10,11,26.25,22.0,2.0,180.0,2.0,,89.0
0002S0000074,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,4,7,7,26.25,23.5,7.5,180.0,2.0,,89.0
0002S0000075,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,5,6,9,26.25,26.25,2.5,180.0,2.0,,89.0
0002S0000076,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,6,11,11,26.25,21.0,5.5,180.0,2.0,,89.0
0002S0000077,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,7,11,11,26.25,22.0,4.5,180.0,2.0,,89.0
0002S0000078,2,2025-07-10,5,spike,1.6503349536396643,FullBody,19,8,9,9,26.25,23.25,6.5,180.0,2.0,,89.0
0002S0000079,2,2025-07-15,6,spike,1.6225408280443905,FullBody,20,1,12,11,32.25,23.0,4.5,120.0,3.0,,91.0
0002S0000080,2,2025-07-15,6,spike,1.6225408280443905,FullBody,20,2,9,9,32.25,24.0,10.0,120.0,3.0,,91.0
0002S0000081,2,2025-07-15,6,spike,1.6225408280443905,FullBody,20,3,8,8,32.25,23.0,1.0,120.0,3.0,,91.0
0002S0000082,2,2025-07-15,6,spike,1.6225408280443905,FullBody,20,4,12,10,32.25,21.0,5.5,120.0,3.0,,91.0
0002S0000083,2,2025-07-15,6,spike,1.6225408280443905,FullBody,20,5,11,12,32.25,21.75,7.0,120.0,3.0,,91.0
0002S0000084,2,2025-07-15,6,spike,1.6225408280443905,FullBody,20,6,11,10,32.25,23.25,4.5,120.0,3.0,,91.0
0002S0000085,2,2025-07-15,6,spike,1.6225408280443905,FullBody,20,7,8,9,32.25,24.25,7.0,120.0,3.0,,91.0
0002S0000086,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,1,8,9,25.75,23.5,5.5,180.0,2.0,,91.0
0002S0000087,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,2,6,6,25.75,24.25,9.0,180.0,2.0,,91.0
0002S0000088,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,3,7,6,25.75,22.75,6.5,180.0,2.0,,91.0
0002S0000089,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,4,6,8,25.75,24.5,8.5,180.0,2.0,,91.0
0002S0000090,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,5,10,10,25.75,23.75,4.0,180.0,2.0,,91.0
0002S0000091,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,6,6,7,25.75,25.25,6.0,180.0,2.0,,91.0
0002S0000092,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,7,11,11,25.75,21.0,5.0,180.0,2.0,,91.0
0002S0000093,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,8,8,7,25.75,23.0,9.0,180.0,2.0,,91.0
0002S0000094,2,2025-07-15,6,spike,1.6225408280443905,FullBody,19,9,11,11,25.75,21.25,5.0,180.0,2.0,,91.0
0002S0000095,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,1,9,9,25.5,22.5,6.5,150.0,3.0,,92.0
0002S0000096,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,2,10,9,25.5,22.25,4.0,150.0,3.0,,92.0
0002S0000097,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,3,7,7,25.5,24.25,5.5,150.0,3.0,,92.0
0002S0000098,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,4,9,9,25.5,23.0,6.5,150.0,3.0,,92.0
0002S0000099,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,5,6,4,25.5,23.75,5.5,150.0,3.0,,92.0
0002S0000100,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,6,11,11,25.5,21.5,3.0,150.0,3.0,,92.0
0002S0000101,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,7,6,5,25.5,24.75,,150.0,3.0,,92.0
0002S0000102,2,2025-07-17,6,spike,1.6225408280443905,FullBody,20,8,10,9,25.5,21.75,6.0,150.0,3.0,,92.0
0002S0000103,2,2025-07-17,6,spike,1.6225408280443905,FullBody,19,1,8,9,28.5,21.0,1.5,90.0,4.0,,92.0
0002S0000104,2,2025-07-17,6,spike,1.6225408280443905,FullBody,19,2,12,13,28.5,19.75,6.0,90.0,4.0,,92.0
0002S0000105,2,2025-07-17,6,spike,1.6225408280443905,FullBody,19,3,10,12,28.5,21.0,4.0,90.0,4.0,,92.0
0002S0000106,2,2025-07-17,6,spike,1.6225408280443905,FullBody,19,4,7,6,28.5,23.0,5.0,90.0,4.0,,92.0
0002S0000107,2,2025-07-17,6,spike,1.6225408280443905,FullBody,19,5,11,13,28.5,19.25,3.5,90.0,4.0,,92.0
0002S0000108,2,2025-07-17,6,spike,1.6225408280443905,FullBody,19,6,9,10,28.5,20.5,3.5,90.0,4.0,,92.0
0002S0000109,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,1,7,8,25.0,24.5,4.0,150.0,4.0,,93.0
0002S0000110,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,2,11,11,25.0,20.75,1.5,150.0,4.0,,93.0
0002S0000111,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,3,11,11,25.0,20.0,4.0,150.0,4.0,,93.0
0002S0000112,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,4,8,7,25.0,21.5,1.0,150.0,4.0,,93.0
0002S0000113,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,5,7,7,25.0,25.0,7.0,150.0,4.0,,93.0
0002S0000114,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,6,7,9,25.0,23.25,2.5,150.0,4.0,,93.0
0002S0000115,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,7,7,6,25.0,25.0,7.5,150.0,4.0,,93.0
0002S0000116,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,8,8,7,25.0,23.0,8.0,150.0,4.0,,93.0
0002S0000117,2,2025-07-19,6,spike,1.6225408280443905,FullBody,20,9,12,13,25.0,20.0,6.0,150.0,4.0,,93.0
0002S0000118,2,2025-07-19,6,spike,1.6225408280443905,FullBody,19,1,6,4,26.25,25.25,6.0,120.0,3.0,,93.0
0002S0000119,2,2025-07-19,6,spike,1.6225408280443905,FullBody,19,2,7,7,26.25,23.5,5.0,120.0,3.0,,93.0
0002S0000120,2,2025-07-19,6,spike,1.6225408280443905,FullBody,19,3,8,7,26.25,22.5,6.0,120.0,3.0,,93.0
0002S0000121,2,2025-07-19,6,spike,1.6225408280443905,FullBody,19,4,6,7,26.25,25.5,6.5,120.0,3.0,,93.0
0002S0000122,2,2025-07-21,7,normal,1.08270651332169,FullBody,20,1,6,6,32.25,25.75,5.0,90.0,3.0,,94.0
0002S0000123,2,2025-07-21,7,normal,1.08270651332169,FullBody,20,2,11,11,32.25,22.0,5.5,90.0,3.0,,94.0
0002S0000124,2,2025-07-21,7,normal,1.08270651332169,FullBody,20,3,7,7,32.25,24.5,4.0,90.0,3.0,,94.0
0002S0000125,2,2025-07-21,7,normal,1.08270651332169,FullBody,19,1,10,10,30.0,21.75,7.0,150.0,4.0,,94.0
0002S0000126,2,2025-07-21,7,normal,1.08270651332169,FullBody,19,2,9,10,30.0,21.0,6.0,150.0,4.0,,94.0
0002S0000127,2,2025-07-21,7,normal,1.08270651332169,FullBody,19,3,9,9,30.0,22.25,4.5,150.0,4.0,,94.0
0002S0000128,2,2025-07-21,7,normal,1.08270651332169,FullBody,19,4,7,6,30.0,22.25,7.0,150.0,4.0,,94.0
0002S0000129,2,2025-07-25,7,normal,1.08270651332169,FullBody,20,1,10,10,30.25,23.25,3.5,120.0,2.0,,95.0
0002S0000130,2,2025-07-25,7,normal,1.08270651332169,FullBody,20,2,9,9,30.25,22.25,5.0,120.0,2.0,,95.0
0002S0000131,2,2025-07-25,7,normal,1.08270651332169,FullBody,20,3,7,6,30.25,24.5,6.5,120.0,2.0,,95.0
0002S0000132,2,2025-07-25,7,normal,1.08270651332169,FullBody,19,1,11,12,31.5,19.0,3.5,120.0,3.0,,95.0
0002S0000133,2,2025-07-25,7,normal,1.08270651332169,FullBody,19,2,6,6,31.5,24.0,6.0,120.0,3.0,,95.0
0002S0000134,2,2025-07-25,7,normal,1.08270651332169,FullBody,19,3,12,13,31.5,20.0,1.5,120.0,3.0,,95.0
0002S0000135,2,2025-07-25,7,normal,1.08270651332169,FullBody,19,4,9,12,31.5,22.5,6.5,120.0,3.0,Recuperi corti,95.0
0002S0000136,2,2025-07-25,7,normal,1.08270651332169,FullBody,19,5,10,10,31.5,21.75,,120.0,3.0,,95.0
0002S0000137,2,2025-07-25,7,normal,1.08270651332169,FullBody,19,6,10,9,31.5,21.75,2.5,120.0,3.0,,95.0
0002S0000138,2,2025-07-27,7,normal,1.08270651332169,FullBody,20,1,11,10,26.75,21.5,8.0,150.0,4.0,,96.0
0002S0000139,2,2025-07-27,7,normal,1.08270651332169,FullBody,20,2,9,7,26.75,23.25,5.0,150.0,4.0,,96.0
0002S0000140,2,2025-07-27,7,normal,1.08270651332169,FullBody,20,3,10,10,26.75,21.0,6.0,150.0,4.0,,96.0
0002S0000141,2,2025-07-27,7,normal,1.08270651332169,FullBody,19,1,8,7,29.5,22.5,5.5,180.0,3.0,,96.0
0002S0000142,2,2025-07-27,7,normal,1.08270651332169,FullBody,19,2,9,9,29.5,20.75,6.5,180.0,3.0,,96.0
0002S0000143,2,2025-07-27,7,normal,1.08270651332169,FullBody,19,3,7,5,29.5,23.0,6.5,180.0,3.0,Sentito bene,96.0
0002S0000144,2,2025-07-27,7,normal,1.08270651332169,FullBody,19,4,8,9,29.5,23.5,7.0,180.0,3.0,,96.0
0002S0000145,2,2025-07-29,8,normal,1.005415081533054,FullBody,20,1,9,10,27.0,22.5,5.5,120.0,4.0,,97.0
0002S0000146,2,2025-07-29,8,normal,1.005415081533054,FullBody,20,2,10,9,27.0,23.25,9.0,120.0,4.0,,97.0
0002S0000147,2,2025-07-29,8,normal,1.005415081533054,FullBody,20,3,7,7,27.0,22.5,6.0,120.0,4.0,,97.0
0002S0000148,2,2025-07-29,8,normal,1.005415081533054,FullBody,20,4,11,10,27.0,20.0,4.0,120.0,4.0,,97.0
0002S0000149,2,2025-07-29,8,normal,1.005415081533054,FullBody,19,1,11,9,26.0,21.75,3.5,90.0,4.0,,97.0
0002S0000150,2,2025-07-29,8,normal,1.005415081533054,FullBody,19,2,6,6,26.0,25.0,5.5,90.0,4.0,,97.0
0002S0000151,2,2025-07-29,8,normal,1.005415081533054,FullBody,19,3,6,6,26.0,25.5,3.5,90.0,4.0,Sentito bene,97.0
0002S0000152,2,2025-07-29,8,normal,1.005415081533054,FullBody,19,4,10,12,26.0,21.25,6.0,90.0,4.0,,97.0
0002S0000153,2,2025-07-30,8,normal,1.005415081533054,FullBody,20,1,10,11,24.5,21.75,7.0,120.0,4.0,,98.0
0002S0000154,2,2025-07-30,8,normal,1.005415081533054,FullBody,20,2,11,12,24.5,22.25,5.0,120.0,4.0,,98.0
0002S0000155,2,2025-07-30,8,normal,1.005415081533054,FullBody,20,3,7,6,24.5,24.5,6.0,120.0,4.0,,98.0
0002S0000156,2,2025-07-30,8,normal,1.005415081533054,FullBody,20,4,6,6,24.5,26.0,10.0,120.0,4.0,,98.0
0002S0000157,2,2025-07-30,8,normal,1.005415081533054,FullBody,19,1,8,8,24.25,20.75,3.5,150.0,4.0,,98.0
0002S0000158,2,2025-07-30,8,normal,1.005415081533054,FullBody,19,2,7,9,24.25,23.25,5.0,150.0,4.0,,98.0
0002S0000159,2,2025-07-30,8,normal,1.005415081533054,FullBody,19,3,8,9,24.25,22.5,7.0,150.0,4.0,,98.0
0002S0000160,2,2025-07-30,8,normal,1.005415081533054,FullBody,19,4,9,10,24.25,20.0,4.0,150.0,4.0,,98.0
0002S0000161,2,2025-07-30,8,normal,1.005415081533054,FullBody,19,5,10,10,24.25,21.0,3.5,150.0,4.0,,98.0
0002S0000162,2,2025-07-30,8,normal,1.005415081533054,FullBody,19,6,12,11,24.25,19.0,3.0,150.0,4.0,,98.0
0002S0000163,2,2025-08-03,8,normal,1.005415081533054,FullBody,20,1,10,11,30.25,21.5,6.0,150.0,3.0,,99.0
0002S0000164,2,2025-08-03,8,normal,1.005415081533054,FullBody,20,2,7,7,30.25,26.0,3.0,150.0,3.0,,99.0
0002S0000165,2,2025-08-03,8,normal,1.005415081533054,FullBody,20,3,10,10,30.25,23.0,5.0,150.0,3.0,,99.0
0002S0000166,2,2025-08-03,8,normal,1.005415081533054,FullBody,20,4,8,7,30.25,24.5,5.0,150.0,3.0,,99.0
0002S0000167,2,2025-08-03,8,normal,1.005415081533054,FullBody,19,1,6,3,28.25,25.25,4.5,180.0,3.0,,99.0
0002S0000168,2,2025-08-03,8,normal,1.005415081533054,FullBody,19,2,7,8,28.25,24.75,4.5,180.0,3.0,,99.0
0002S0000169,2,2025-08-03,8,normal,1.005415081533054,FullBody,19,3,10,8,28.25,22.25,5.0,180.0,3.0,,99.0
0002S0000170,2,2025-08-06,9,normal,0.9780228134791746,FullBody,20,1,8,6,29.25,23.25,5.0,180.0,4.0,,100.0
0002S0000171,2,2025-08-06,9,normal,0.9780228134791746,FullBody,20,2,11,10,29.25,21.0,7.0,180.0,4.0,,100.0
0002S0000172,2,2025-08-06,9,normal,0.9780228134791746,FullBody,20,3,9,9,29.25,23.0,7.0,180.0,4.0,,100.0
0002S0000173,2,2025-08-06,9,normal,0.9780228134791746,FullBody,20,4,10,10,29.25,22.0,,180.0,4.0,,100.0
0002S0000174,2,2025-08-06,9,normal,0.9780228134791746,FullBody,19,1,10,10,32.5,22.75,1.0,180.0,2.0,,100.0
0002S0000175,2,2025-08-06,9,normal,0.9780228134791746,FullBody,19,2,9,8,32.5,21.75,6.5,180.0,2.0,,100.0
0002S0000176,2,2025-08-06,9,normal,0.9780228134791746,FullBody,19,3,12,13,32.5,21.5,5.5,180.0,2.0,Sentito bene,100.0
0002S0000177,2,2025-08-06,9,normal,0.9780228134791746,FullBody,19,4,8,7,32.5,23.25,6.0,180.0,2.0,,100.0
0002S0000178,2,2025-08-09,9,normal,0.9780228134791746,FullBody,20,1,7,6,31.75,25.0,6.5,90.0,2.0,,102.0
0002S0000179,2,2025-08-09,9,normal,0.9780228134791746,FullBody,20,2,12,11,31.75,23.25,2.0,90.0,2.0,,102.0
0002S0000180,2,2025-08-09,9,normal,0.9780228134791746,FullBody,20,3,8,9,31.75,23.25,3.0,90.0,2.0,,102.0
0002S0000181,2,2025-08-09,9,normal,0.9780228134791746,FullBody,20,4,6,8,31.75,24.25,2.5,90.0,2.0,,102.0
0002S0000182,2,2025-08-09,9,normal,0.9780228134791746,FullBody,20,5,9,7,31.75,25.25,5.0,90.0,2.0,,102.0
0002S0000183,2,2025-08-09,9,normal,0.9780228134791746,FullBody,19,1,8,8,28.75,22.75,3.0,90.0,2.0,,102.0
0002S0000184,2,2025-08-09,9,normal,0.9780228134791746,FullBody,19,2,8,9,28.75,24.0,6.0,90.0,2.0,,102.0
0002S0000185,2,2025-08-09,9,normal,0.9780228134791746,FullBody,19,3,11,10,28.75,21.5,4.5,90.0,2.0,,102.0
0002S0000186,2,2025-08-09,9,normal,0.9780228134791746,FullBody,19,4,6,7,28.75,23.75,9.5,90.0,2.0,,102.0
0002S0000187,2,2025-08-09,9,normal,0.9780228134791746,FullBody,19,5,7,7,28.75,24.75,2.5,90.0,2.0,,102.0
0002S0000188,2,2025-08-12,10,normal,1.0849897226805023,FullBody,20,1,8,7,29.25,23.75,3.0,90.0,4.0,,103.0
0002S0000189,2,2025-08-12,10,normal,1.0849897226805023,FullBody,20,2,6,7,29.25,26.0,8.0,90.0,4.0,,103.0
0002S0000190,2,2025-08-12,10,normal,1.0849897226805023,FullBody,19,1,11,12,29.25,23.0,5.0,90.0,2.0,,103.0
0002S0000191,2,2025-08-12,10,normal,1.0849897226805023,FullBody,19,2,12,12,29.25,22.25,7.0,90.0,2.0,,103.0
0002S0000192,2,2025-08-12,10,normal,1.0849897226805023,FullBody,19,3,8,6,29.25,24.25,6.0,90.0,2.0,,103.0
0002S0000193,2,2025-08-12,10,normal,1.0849897226805023,FullBody,19,4,6,6,29.25,24.0,3.5,90.0,2.0,,103.0
0002S0000194,2,2025-08-14,10,normal,1.0849897226805023,FullBody,20,1,8,6,29.0,24.0,2.0,90.0,4.0,,104.0
0002S0000195,2,2025-08-14,10,normal,1.0849897226805023,FullBody,20,2,12,14,29.0,20.5,6.5,90.0,4.0,,104.0
0002S0000196,2,2025-08-14,10,normal,1.0849897226805023,FullBody,20,3,6,6,29.0,24.25,5.5,90.0,4.0,,104.0
0002S0000197,2,2025-08-14,10,normal,1.0849897226805023,FullBody,20,4,12,11,29.0,19.0,8.0,90.0,4.0,,104.0
0002S0000198,2,2025-08-14,10,normal,1.0849897226805023,FullBody,20,5,11,11,29.0,20.75,4.5,90.0,4.0,,104.0
0002S0000199,2,2025-08-14,10,normal,1.0849897226805023,FullBody,20,6,8,7,29.0,23.5,2.0,90.0,4.0,,104.0
0002S0000200,2,2025-08-14,10,normal,1.0849897226805023,FullBody,19,1,9,8,27.0,21.75,4.5,90.0,4.0,,104.0
0002S0000201,2,2025-08-14,10,normal,1.0849897226805023,FullBody,19,2,6,6,27.0,24.25,5.0,90.0,4.0,,104.0
0002S0000202,2,2025-08-14,10,normal,1.0849897226805023,FullBody,19,3,10,10,27.0,23.25,7.0,90.0,4.0,,104.0
0002S0000203,2,2025-08-14,10,normal,1.0849897226805023,FullBody,19,4,7,8,27.0,23.25,6.0,90.0,4.0,,104.0
0002S0000204,2,2025-08-14,10,normal,1.0849897226805023,FullBody,19,5,10,10,27.0,20.75,5.5,90.0,4.0,,104.0
